stem,method,region_h,region_w,niqe,brisque,ocr_conf_sum,ocr_n_detections
sc_h_13,raw,173,110,12.445995813499549,45.73553466796875,1.176303100826892,2
sc_h_13,telea,173,110,8.33820643146974,28.96209716796875,0.0,0
sc_h_13,navier_stokes,173,110,7.024116174011638,33.19451904296875,0.0,0
sc_h_13,lama_manual_mask,173,110,8.442442419536835,31.21990966796875,0.23015013372865925,1
sc_h_13,lama_dilated,173,110,7.8232622120234145,19.43963623046875,0.0,0
sc_h_13,lama_auto,173,110,6.98862523341433,22.25897216796875,0.0,0
sc_h_14,raw,171,111,10.599150711084825,35.25994873046875,2.101869662618983,4
sc_h_14,telea,171,111,9.89660260681555,51.96014404296875,0.0,0
sc_h_14,navier_stokes,171,111,9.623122918681181,44.16229248046875,0.0,0
sc_h_14,lama_manual_mask,171,111,8.861371106768964,37.97967529296875,0.0,0
sc_h_14,lama_dilated,171,111,8.198344839733917,38.72088623046875,0.0,0
sc_h_14,lama_auto,171,111,8.77088194701101,38.26385498046875,0.0,0
sc_h_15,raw,187,114,12.824170885241696,27.71990966796875,1.9168854211470205,4
sc_h_15,telea,187,114,12.37536785697973,19.37615966796875,0.0,0
sc_h_15,navier_stokes,187,114,10.794038640674648,24.80780029296875,0.0,0
sc_h_15,lama_manual_mask,187,114,10.900940148781837,25.72967529296875,0.3131546286008595,2
sc_h_15,lama_dilated,187,114,10.85425132238413,22.80487060546875,0.0,0
sc_h_15,lama_auto,187,114,8.941966714943078,18.11248779296875,0.0,0
sc_h_16,raw,187,114,8.595971280989183,55.77850341796875,0.5404344476082373,1
sc_h_16,telea,187,114,8.628262616041699,44.29803466796875,0.0,0
sc_h_16,navier_stokes,187,114,7.228698701184607,46.19647216796875,0.0,0
sc_h_16,lama_manual_mask,187,114,6.920983802759101,48.37518310546875,0.0,0
sc_h_16,lama_dilated,187,114,7.631513516897686,44.90350341796875,0.0,0
sc_h_16,lama_auto,187,114,7.372674321278707,36.59295654296875,0.0,0
sc_h_17,raw,180,122,15.12696059945883,42.68084716796875,2.921231101468044,4
sc_h_17,telea,180,122,10.91236003711378,33.99920654296875,0.0,0
