stem,method,region_h,region_w,niqe,brisque
sc_h_34,swin2sr,365,232,19.302249810893407,89.00897216796875
sc_h_34,realesrgan,351,224,12.874891559101599,24.42303466796875
sc_h_34,aesrgan,351,224,10.530762068818678,28.86053466796875
sc_h_35,lama_dilated,125,101,5.823646264310619,15.36932373046875
sc_h_35,swin2sr,394,295,9.645616704966228,68.14959716796875
sc_h_35,realesrgan,379,285,5.740395559608143,40.47186279296875
sc_h_35,aesrgan,379,285,7.615097556297204,25.74530029296875
sc_h_36,lama_dilated,129,96,7.298947865078169,13.31365966796875
sc_h_36,swin2sr,412,268,8.971806355234852,49.01385498046875
sc_h_36,realesrgan,396,258,7.287876160713772,7.19744873046875
sc_h_36,aesrgan,396,258,5.461010531127729,10.83709716796875
sc_h_37,lama_dilated,129,96,5.076161227328252,12.06561279296875
sc_h_37,swin2sr,413,249,8.396581554055363,59.42889404296875
sc_h_37,realesrgan,397,240,4.231387788792497,7.29412841796875
sc_h_37,aesrgan,397,240,3.644549784342242,2.58221435546875
sc_h_38,lama_dilated,125,96,10.303194762498627,19.87908935546875
sc_h_38,swin2sr,405,254,16.725950424097075,87.22967529296875
sc_h_38,realesrgan,388,246,10.269652638043802,15.10369873046875
sc_h_38,aesrgan,388,246,11.613163535737405,9.79217529296875
sc_h_39,lama_dilated,125,96,6.975792787470766,12.71697998046875
sc_h_39,swin2sr,395,246,17.89866151177856,76.40740966796875
sc_h_39,realesrgan,379,238,12.039207209895643,16.33319091796875
sc_h_39,aesrgan,379,238,12.647369288647333,9.74041748046875
sc_h_40,lama_dilated,123,96,5.8517853953156544,22.73065185546875
sc_h_40,swin2sr,387,259,9.43879345594966,66.71942138671875
sc_h_40,realesrgan,372,250,6.506663509182432,31.27459716796875
sc_h_40,aesrgan,372,250,3.7058714621862463,23.56463623046875
sc_h_41,lama_dilated,134,96,9.732526331873574,14.44549560546875
sc_h_41,swin2sr,433,263,8.809803563580763,76.14959716796875
sc_h_41,realesrgan,417,254,11.197226038906699,29.42694091796875
sc_h_41,aesrgan,417,254,10.07759635787013,26.92596435546875
sc_h_42,lama_dilated,130,96,6.052170139995755,16.41131591796875
sc_h_42,swin2sr,415,264,9.483737560273196,49.62811279296875
sc_h_42,realesrgan,400,254,3.930571189526042,11.52459716796875
sc_h_42,aesrgan,400,254,3.688601960459496,6.90643310546875
sc_h_43,lama_dilated,128,97,11.28356605427833,17.65838623046875
sc_h_43,swin2sr,407,279,16.715044801785215,95.09002685546875
sc_h_43,realesrgan,392,270,14.37603515065583,36.47479248046875
sc_h_43,aesrgan,392,270,12.975951411602285,34.65252685546875
sc_h_44,lama_dilated,123,96,7.543635662294677,13.38592529296875
sc_h_44,swin2sr,385,254,17.732387865573862,91.79803466796875
sc_h_44,realesrgan,371,246,14.756275765425563,24.02069091796875
sc_h_44,aesrgan,371,246,13.624004787422715,26.60955810546875
