image,sr_method,input_niqe,sr_niqe,niqe_improvement,input_brisque,sr_brisque,brisque_improvement,input_remove,sr_remove,remove_improvement,niqe_result,brisque_result,remove_result
sc_h_26,aesrgan,12.3421603304298,3.327441777818726,9.014718552611075,31.50408935546875,12.00506591796875,19.4990234375,0.8651701807975769,0.7522191405296326,-0.11295104026794434,Improved,Improved,Worsened
sc_h_27,aesrgan,5.898058586725497,3.801889429915074,2.0961691568104235,34.39178466796875,4.01678466796875,30.375,0.9077916145324708,0.848259687423706,-0.05953192710876476,Improved,Improved,Worsened
sc_h_28,aesrgan,9.7770312910976,8.0120407958376,1.764990495260001,30.15350341796875,14.59588623046875,15.5576171875,0.8764296770095825,0.890886127948761,0.014456450939178467,Improved,Improved,Improved
sc_h_29,aesrgan,8.713460191748226,8.453438222853205,0.26002196889502116,23.75799560546875,12.55975341796875,11.1982421875,0.7685538530349731,0.8075861930847168,0.03903234004974365,Improved,Improved,Improved
sc_h_3,aesrgan,4.618073197555846,4.213863852306251,0.40420934524959495,26.11151123046875,-5.15899658203125,31.2705078125,0.3888731002807617,0.2425121665000915,-0.14636093378067022,Improved,Improved,Worsened
sc_h_30,aesrgan,7.500958414677422,3.8978443876082585,3.6031140270691635,31.80584716796875,17.91717529296875,13.888671875,0.8961562514305115,0.8935569524765015,-0.0025992989540100098,Improved,Improved,Worsened
sc_h_31,aesrgan,10.073672571125403,6.076324499825539,3.9973480712998644,38.48651123046875,15.01971435546875,23.466796875,0.9230871200561525,0.892507791519165,-0.030579328536987416,Improved,Improved,Worsened
sc_h_32,aesrgan,6.216038653935047,3.825377326517284,2.390661327417763,22.76287841796875,11.63983154296875,11.123046875,0.872559130191803,0.8542501330375671,-0.01830899715423584,Improved,Improved,Worsened
sc_h_33,aesrgan,9.096259709048187,13.16550758115426,-4.069247872106073,33.30682373046875,29.65350341796875,3.6533203125,0.9046639204025269,0.9260947108268738,0.021430790424346924,Worsened,Improved,Improved
sc_h_34,aesrgan,9.511908118071773,10.530762068818678,-1.0188539507469052,27.91815185546875,28.86053466796875,-0.9423828125,0.8576444387435913,0.860576868057251,0.002932429313659668,Worsened,Worsened,Improved
sc_h_35,aesrgan,5.823646264310619,7.615097556297204,-1.7914512919865855,15.36932373046875,25.74530029296875,-10.3759765625,0.9115043878555298,0.8914802074432373,-0.02002418041229248,Worsened,Worsened,Worsened
sc_h_36,aesrgan,7.298947865078169,5.461010531127729,1.83793733395044,13.31365966796875,10.83709716796875,2.4765625,0.8478363752365112,0.8098009824752808,-0.03803539276123047,Improved,Improved,Worsened
sc_h_37,aesrgan,5.076161227328252,3.644549784342242,1.4316114429860103,12.06561279296875,2.58221435546875,9.4833984375,0.8945819139480591,0.8887330889701843,-0.005848824977874756,Improved,Improved,Worsened
sc_h_38,aesrgan,10.303194762498627,11.613163535737405,-1.3099687732387775,19.87908935546875,9.79217529296875,10.0869140625,0.9026793241500854,0.8897126913070679,-0.012966632843017578,Worsened,Improved,Worsened
sc_h_39,aesrgan,6.975792787470766,12.647369288647331,-5.671576501176565,12.71697998046875,9.74041748046875,2.9765625,0.889046311378479,0.9004014730453491,0.011355161666870117,Worsened,Improved,Improved
sc_h_40,aesrgan,5.8517853953156544,3.7058714621862463,2.145913933129408,22.73065185546875,23.56463623046875,-0.833984375,0.9210819005966188,0.9003125429153442,-0.020769357681274525,Improved,Worsened,Worsened
sc_h_41,aesrgan,9.732526331873574,10.07759635787013,-0.3450700259965558,14.44549560546875,26.92596435546875,-12.48046875,0.9286215305328368,0.9284764528274536,-0.00014507770538318976,Worsened,Worsened,Worsened
